CreatedDate,CreatedTime,Symbol,Type,Volume,Price,Side,CallPut,Strike,Spot,Premium,ExpirationDate,Color,ImpliedVolatility,Dte,ER,StockEtf,Sector,Uoa,Weekly,MktCap,OI
6/22/2021,09:30:44,NVDA,SWEEP,110,11.723,AA,CALL,750,742.34,128951,6/25/2021,WHITE,0.56,3,F,STOCK,Information Technology,F,T,4.59E+11,6503
6/22/2021,09:30:44,GSK,SWEEP,250,0.6,A,PUT,39,39.45,14990,7/16/2021,YELLOW,0.21,24,F,STOCK,Health Care,F,F,1.23E+11,136
6/22/2021,09:30:51,F,BLOCK,200,0.59,A,CALL,14.5,15.0201,11800,6/25/2021,WHITE,0.45,3,F,STOCK,Consumer Discretionary,F,T,58996000000,7475
6/22/2021,09:30:52,GM,SWEEP,510,0.24,A,CALL,66,59.41,12240,7/16/2021,YELLOW,0.31,24,F,STOCK,Consumer Discretionary,F,F,86024000000,190
6/22/2021,09:30:53,GM,SWEEP,156,0.65,A,CALL,61,59.41,10140,07-02-2021,WHITE,0.32,10,F,STOCK,Consumer Discretionary,F,F,86024000000,1513
6/22/2021,09:30:54,WISH,SWEEP,171,0.399,A,CALL,20,13.69,6820,6/25/2021,WHITE,3.83,3,F,STOCK,Consumer Discretionary,F,T,7916000000,26254
6/22/2021,09:31:00,DDD,BLOCK,205,5.5,A,CALL,25,30.7372,112750,6/25/2021,WHITE,0,3,F,STOCK,Information Technology,T,T,3611000000,432
6/22/2021,09:31:05,AAPL,SWEEP,150,1.32,A,CALL,132,132.305,19800,6/25/2021,WHITE,0.24,3,F,STOCK,Information Technology,F,T,2.21E+12,30163
6/22/2021,09:31:07,UTZ,SWEEP,200,0.75,A,CALL,25,23,15000,8/20/2021,YELLOW,0.39,59,F,STOCK,None,T,F,3093000000,54
6/22/2021,09:31:08,F,BLOCK,302,0.61,A,CALL,15,15.027,18422,7/16/2021,WHITE,0.38,24,F,STOCK,Consumer Discretionary,F,F,58996000000,49455
6/22/2021,09:31:11,WISH,SWEEP,222,1,A,CALL,15,13.7185,22200,6/25/2021,WHITE,3.01,3,F,STOCK,Consumer Discretionary,F,T,7916000000,20624
6/22/2021,09:31:13,AAPL,SWEEP,500,1.553,AA,PUT,133,132.31,77668,6/25/2021,WHITE,0.25,3,F,STOCK,Information Technology,F,T,2.21E+12,4150
6/22/2021,09:31:14,ABNB,BLOCK,200,2.6,A,CALL,150,149.5908,52000,6/25/2021,WHITE,0.51,3,F,STOCK,Information Technology,F,T,92442000000,2263
6/22/2021,09:31:14,MU,SWEEP,252,0.799,AA,CALL,78.5,77.74,20135,6/25/2021,WHITE,0.4,3,F,STOCK,Information Technology,F,T,86427000000,1854
6/22/2021,09:31:14,FRX,BLOCK,392,0.85,A,CALL,10,9.9602,33320,7/16/2021,WHITE,0.84,24,F,STOCK,None,F,F,371000000,12757
6/22/2021,09:31:17,F,SWEEP,229,0.62,A,CALL,15,15.0699,14195,7/16/2021,WHITE,0.37,24,F,STOCK,Consumer Discretionary,F,F,58996000000,49455
6/22/2021,09:31:20,TSLA,BLOCK,100,5,A,CALL,710,619.3254,50000,7/16/2021,WHITE,0.46,24,F,STOCK,Consumer Discretionary,F,F,5.98E+11,6677
6/22/2021,09:31:21,FUBO,SWEEP,200,3.4,A,CALL,40,33.22,68000,8/20/2021,WHITE,1.06,59,F,STOCK,Information Technology,F,F,4441000000,6560
6/22/2021,09:31:22,DKNG,SWEEP,225,1.2,A,CALL,49,49.11,27000,6/25/2021,WHITE,0.64,3,F,STOCK,Communication Services,F,T,38906000000,2763
6/22/2021,09:31:26,ROKU,SWEEP,108,6.508,AA,CALL,400,388.432,70291,6/25/2021,WHITE,0.79,3,F,STOCK,Communication Services,F,T,50673000000,6532
6/22/2021,09:31:27,SPWR,SWEEP,200,0.62,A,CALL,29,25.29,12400,7/16/2021,WHITE,0.69,24,F,STOCK,Information Technology,F,F,4383000000,2434
6/22/2021,09:31:27,SWBI,SWEEP,153,1.1,A,CALL,30,27.73,16830,7/16/2021,WHITE,0.68,24,F,STOCK,Consumer Discretionary,F,F,1328000000,7746
6/22/2021,09:31:29,NVDA,SWEEP,82,10.5,A,CALL,800,745.5741,86100,7/16/2021,WHITE,0.38,24,F,STOCK,Information Technology,F,F,4.59E+11,5155
6/22/2021,09:31:30,WISH,SWEEP,299,1.399,A,CALL,14,13.79,41840,6/25/2021,WHITE,2.99,3,F,STOCK,Consumer Discretionary,F,T,7916000000,15178
6/22/2021,09:31:32,AAPL,SWEEP,280,0.47,A,PUT,122,132.365,13160,7/16/2021,WHITE,0.27,24,F,STOCK,Information Technology,F,F,2.21E+12,289
6/22/2021,09:31:36,WISH,SWEEP,177,2.998,A,CALL,12.5,13.7668,53063,7/16/2021,WHITE,1.72,24,F,STOCK,Consumer Discretionary,F,F,7916000000,33953
6/22/2021,09:31:39,AAPL,BLOCK,200,0.5,A,CALL,134,132.32,10000,6/25/2021,WHITE,0.24,3,F,STOCK,Information Technology,F,T,2.21E+12,24679
6/22/2021,09:31:45,AMD,BLOCK,500,5.3,A,CALL,79,83.32,265000,7/16/2021,WHITE,0.29,24,F,STOCK,Information Technology,F,F,1.00E+11,503
6/22/2021,09:31:48,BABA,SWEEP,529,6.5,A,PUT,185,210.14,343850,11/19/2021,WHITE,0.34,150,F,STOCK,Information Technology,F,F,5.20E+11,2729
6/22/2021,09:31:51,CRWD,SWEEP,183,1.613,A,CALL,270,245.2002,29514,07-09-2021,YELLOW,0.41,17,F,STOCK,Information Technology,F,F,53670000000,28
6/22/2021,09:31:58,CLOV,SWEEP,190,0.699,A,CALL,12,11.9301,13272,6/25/2021,WHITE,1.69,3,F,STOCK,Health Care,F,T,4587000000,4674
6/22/2021,09:32:01,SOFI,SWEEP,307,2.41,A,PUT,22.5,22.559,73987,7/16/2021,WHITE,1.08,24,F,STOCK,None,F,F,17999000000,2516
6/22/2021,09:32:06,AAPL,SWEEP,406,0.83,A,CALL,135,132.4001,33697,07-02-2021,WHITE,0.2,10,F,STOCK,Information Technology,F,F,2.21E+12,20346
6/22/2021,09:32:06,WISH,SWEEP,262,2.45,A,CALL,13.5,13.7657,64178,07-09-2021,WHITE,1.98,17,F,STOCK,Consumer Discretionary,F,F,7916000000,519
